path,type,size,parent_directory
C:\Java seminars\Lesson_07,directory,0,C:\Java seminars
C:\Java seminars\Lesson_07\Ex001\PointMethod.java,file,454,C:\Java seminars\Lesson_07\Ex001
C:\Java seminars\Lesson_07\Ex001,directory,454,C:\Java seminars\Lesson_07
C:\Java seminars\Lesson_07\Ex002\Point2D.java,file,71,C:\Java seminars\Lesson_07\Ex002
C:\Java seminars\Lesson_07\Ex002\Program.java,file,651,C:\Java seminars\Lesson_07\Ex002
C:\Java seminars\Lesson_07\Ex002,directory,722,C:\Java seminars\Lesson_07
C:\Java seminars\Lesson_07\Ex003\Point2D.java,file,1099,C:\Java seminars\Lesson_07\Ex003
C:\Java seminars\Lesson_07\Ex003\Program.java,file,485,C:\Java seminars\Lesson_07\Ex003
C:\Java seminars\Lesson_07\Ex003,directory,1584,C:\Java seminars\Lesson_07
C:\Java seminars\Lesson_07\Ex004\Program.java,file,1278,C:\Java seminars\Lesson_07\Ex004
C:\Java seminars\Lesson_07\Ex004\Robot1.java,file,1326,C:\Java seminars\Lesson_07\Ex004
C:\Java seminars\Lesson_07\Ex004\Robot2.java,file,1757,C:\Java seminars\Lesson_07\Ex004
C:\Java seminars\Lesson_07\Ex004\Robot3.java,file,3554,C:\Java seminars\Lesson_07\Ex004
C:\Java seminars\Lesson_07\Ex004,directory,7915,C:\Java seminars\Lesson_07
C:\Java seminars\Lesson_07\Ex005\Magician.java,file,1357,C:\Java seminars\Lesson_07\Ex005
C:\Java seminars\Lesson_07\Ex005\Priest.java,file,1406,C:\Java seminars\Lesson_07\Ex005
C:\Java seminars\Lesson_07\Ex005\Program.java,file,362,C:\Java seminars\Lesson_07\Ex005
C:\Java seminars\Lesson_07\Ex005,directory,3125,C:\Java seminars\Lesson_07
C:\Java seminars\Lesson_07\Ex006\BaseHero.java,file,995,C:\Java seminars\Lesson_07\Ex006
C:\Java seminars\Lesson_07\Ex006\Magician.java,file,639,C:\Java seminars\Lesson_07\Ex006
C:\Java seminars\Lesson_07\Ex006\Priest.java,file,677,C:\Java seminars\Lesson_07\Ex006
C:\Java seminars\Lesson_07\Ex006\Program.java,file,577,C:\Java seminars\Lesson_07\Ex006
C:\Java seminars\Lesson_07\Ex006\Teams.java,file,852,C:\Java seminars\Lesson_07\Ex006
C:\Java seminars\Lesson_07\Ex006,directory,3740,C:\Java seminars\Lesson_07
C:\Java seminars\Lesson_07\Ex007\BaseHero.java,file,1131,C:\Java seminars\Lesson_07\Ex007
C:\Java seminars\Lesson_07\Ex007\Magician.java,file,455,C:\Java seminars\Lesson_07\Ex007
C:\Java seminars\Lesson_07\Ex007\Priest.java,file,469,C:\Java seminars\Lesson_07\Ex007
C:\Java seminars\Lesson_07\Ex007\Program.java,file,1658,C:\Java seminars\Lesson_07\Ex007
C:\Java seminars\Lesson_07\Ex007,directory,3713,C:\Java seminars\Lesson_07
